entity_code,entity_name,historical_population,historical_population_first_year,historical_population_last_year,historical_electricity_demand_per_capita,historical_electricity_demand_per_capita_first_year,historical_electricity_demand_per_capita_last_year,historical_gdp_ppp_per_capita,historical_gdp_ppp_per_capita_first_year,historical_gdp_ppp_per_capita_last_year,future_population,future_gdp_ppp_per_capita,future_electricity_demand_per_capita,area_greater_than_500_km2
IND_CH,Subdivision of India,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,False
IND_CT,Subdivision of India,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
IND_DH,Subdivision of India,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,False
IND_DL,Subdivision of India,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
IND_GA,Subdivision of India,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
IND_GJ,Subdivision of India,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
IND_HP,Subdivision of India,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
IND_HR,Subdivision of India,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
IND_JH,Subdivision of India,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
IND_JK,Subdivision of India,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
IND_KA,Subdivision of India,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
IND_KL,Subdivision of India,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
IND_LA,Subdivision of India,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
IND_LD,Subdivision of India,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,False
IND_MH,Subdivision of India,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
IND_ML,Subdivision of India,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
IND_MN,Subdivision of India,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
IND_MP,Subdivision of India,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
IND_MZ,Subdivision of India,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
IND_NL,Subdivision of India,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
IND_OR,Subdivision of India,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
IND_PB,Subdivision of India,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
IND_PY,Subdivision of India,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,False
IND_RJ,Subdivision of India,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
IND_SK,Subdivision of India,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
IND_TG,Subdivision of India,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
IND_TN,Subdivision of India,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
IND_TR,Subdivision of India,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
IND_UP,Subdivision of India,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
IND_UT,Subdivision of India,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
